trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-68.36837568840754,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-82.75470435699074,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-127.32939386170759,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-208.68283801123656,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-199.032114309515,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-133.5893747029975,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-191.48406576836953,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-72.0530180294432,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,5,-131.70778824433276,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,18,-26.100233861201776,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,13,-72.83326209809526,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,8,-27.239554113813934,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-32.811668851493245,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-180.57990411885228,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,8.513414527624233,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,16,1.249030216354954,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,3,-56.98801373127873,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-29.885687123883308,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,-68.00016010565992,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,23.18571687524452,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-45.187379831228625,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,15,-38.967622030415484,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,10,18.31411346934133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,3,-76.89807249718696,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,4,-136.47017471982898,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 4}",1
6,True,"{'a': 0.0, 'e': 0.0}",35,12,-17.026439910473233,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,13,9.215614201454052,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-120.28132357190336,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,23,8.078498664715461,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,9,-15.048461934430911,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
