trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0099, 'e': 0.9901488436829572}",35,8,-110.46015460614566,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 2}",1
2,False,"{'a': 0.0099, 'e': 0.9803947326466971}",25,0,-220.9451445748975,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.0099, 'e': 0.9707367108829891}",20,0,-87.59076190821307,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.0099, 'e': 0.9611738318013887}",25,12,-35.327881433745695,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
5,False,"{'a': 0.0099, 'e': 0.9517051581364622}",20,0,-102.12897446765969,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.0099, 'e': 0.9423297618559239}",20,0,-138.33544606386772,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.0099, 'e': 0.9330467240696795}",20,0,-15.668223108735226,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.0099, 'e': 0.9238551349397642}",20,2,-42.205181981675025,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.0099, 'e': 0.91475409359117}",20,0,-71.33977423330472,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.0099, 'e': 0.9057427080235485}",25,0,-97.95043686831352,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.0099, 'e': 0.8968200950237868}",20,2,-52.923483692030295,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.0099, 'e': 0.8879853800794423}",20,0,-94.7431463105961,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.0099, 'e': 0.879237697293031}",25,5,-96.95266790321732,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",1
14,False,"{'a': 0.0099, 'e': 0.8705761892971605}",25,9,-39.88546347038681,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.0099, 'e': 0.8620000071704987}",25,1,-80.44442620638999,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.0099, 'e': 0.8535083103545701}",35,12,-58.714013841099955,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.0099, 'e': 0.845100266571372}",20,11,-26.822975566532783,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.0099, 'e': 0.8367750517418029}",35,0,-161.7827970382204,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.0099, 'e': 0.8285318499048928}",25,0,-169.10222809954578,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.0099, 'e': 0.8203698531378311}",25,16,-47.42976767552019,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.0099, 'e': 0.8122882614767808}",30,18,-5.121773204334577,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.0099, 'e': 0.804286282838474}",20,0,4.953976726482836,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.0099, 'e': 0.7963631329425789}",25,0,-64.35825929240033,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
24,False,"{'a': 0.0099, 'e': 0.7885180352348315}",20,0,-47.39452786942841,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.0099, 'e': 0.7807502208109257}",20,0,-91.23322488145223,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.0099, 'e': 0.7730589283411515}",20,0,-90.65082972895244,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.0099, 'e': 0.7654434039957773}",25,0,-82.8594906794937,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.0099, 'e': 0.7579029013711654}",25,0,-79.38840110980715,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
29,False,"{'a': 0.0099, 'e': 0.7504366814166178}",20,0,-118.30845430158325,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.0099, 'e': 0.7430440123619398}",20,0,-98.78507916027783,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.0099, 'e': 0.7357241696457196}",25,0,-108.24632734767262,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
32,False,"{'a': 0.0099, 'e': 0.7284764358443131}",20,0,-119.29766990050622,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
33,False,"{'a': 0.0099, 'e': 0.7213001006015285}",20,0,-5.371958353710974,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.0099, 'e': 0.7141944605590042}",30,13,-18.38762558300925,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.0099, 'e': 0.7071588192872713}",25,12,-21.31593878000871,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.0099, 'e': 0.7001924872174969}",30,0,-93.76213596424311,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.0099, 'e': 0.6932947815738983}",30,0,-151.91415959089179,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
38,False,"{'a': 0.0099, 'e': 0.6864650263068238}",20,7,23.786582537449476,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.0099, 'e': 0.6797025520264923}",30,13,-62.534703994345975,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.0099, 'e': 0.6730066959373864}",25,0,-105.23951080175625,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",1
41,False,"{'a': 0.0099, 'e': 0.6663768017732907}",20,0,-62.33923880855245,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.0099, 'e': 0.6598122197329709}",35,12,-113.73775452707716,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 2}",1
43,False,"{'a': 0.0099, 'e': 0.6533123064164864}",20,0,-23.789866527268288,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
