trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.4553203234761,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.02329935311675,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.578040067367954,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,5,-115.37013082543294,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.83491209459758,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-197.8352984444437,"{0: 19, 1: 6, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-132.6890090939125,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.27915463348577,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.77965879083786,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.05816685427175,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-67.82421011051643,"{0: 21, 1: 6, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.91906742666725,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,14,-34.145203709499604,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.8831089070204,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.423180487361883,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.8223162445147,"{0: 13, 1: 2, 2: 12, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.28004456912201,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,12,-59.32732714930923,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.1256460805182,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.8293326617103,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-184.05990597166675,"{0: 22, 1: 2, 2: 6, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-85.60383555175656,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.2481214590219,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-175.2804538095322,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-214.72173499797353,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-182.73946061278548,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.58251701427935,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,9,-31.274242065844717,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.11738822936738,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.54154721747338,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
